地区,fi,fc,学校名
中央区,67,0202,中央小学校
中央区,68,0203,山鼻小学校
中央区,69,0204,幌西小学校
中央区,70,0205,桑園小学校
中央区,71,0206,二条小学校
中央区,72,0208,日新小学校
中央区,73,0209,緑丘小学校
中央区,74,0210,伏見小学校
中央区,75,0211,三角山小学校
中央区,76,0212,山鼻南小学校
中央区,77,0213,柏中学校
中央区,78,0214,中央中学校
中央区,79,0215,中島中学校
中央区,80,0216,啓明中学校
中央区,81,0217,向陵中学校
中央区,82,0218,伏見中学校
中央区,83,0219,宮の森中学校
中央区,84,0220,山鼻中学校
北区,85,0230,北九条小学校
北区,86,0231,白楊小学校
北区,87,0232,新琴似小学校
北区,88,0233,屯田小学校
北区,89,0234,新川小学校
北区,90,0235,和光小学校
北区,91,0236,光陽小学校
北区,92,0238,新川中央小学校
北区,93,0240,新琴似緑小学校
北区,94,0241,屯田西小学校
北区,95,0242,北辰中学校
北区,96,0243,新琴似中学校
北区,97,0244,北陽中学校
北区,98,0245,新琴似北中学校
北区,99,0246,新川中学校
北区,100,0247,光陽中学校
北区,101,0248,太平中学校
北区,102,0249,屯田中央中学校
北区,103,0250,新川西中学校
北区,104,0251,篠路中学校
北区,105,0252,あいの里東中学校
北区,106,0253,あいの里東小学校
北区,107,0254,百合が原小学校
北区,108,0255,上篠路中学校
北区,109,0256,篠路西中学校
北区,110,0257,屯田北小学校
北区,111,0258,屯田北中学校
北区,112,0259,篠路西小学校
東区,113,0280,美香保小学校
東区,114,0281,札幌小学校
東区,115,0282,栄小学校
東区,116,0283,北園小学校
東区,117,0284,元町小学校
東区,118,0285,明園小学校
東区,119,0286,本町小学校
東区,120,0287,栄西小学校
東区,121,0288,栄北小学校
東区,122,0289,元町北小学校
東区,123,0290,栄東小学校
東区,124,0292,栄南小学校
東区,125,0293,伏古小学校
東区,126,0294,開成小学校
東区,127,0295,栄町小学校
東区,128,0296,栄緑小学校
東区,129,0297,伏古北小学校
東区,130,0298,美香保中学校
東区,131,0299,北栄中学校
東区,132,0300,札幌中学校
東区,133,0301,東栄中学校
東区,134,0302,明園中学校
東区,135,0303,栄中学校
東区,136,0304,札苗中学校
東区,137,0305,栄南中学校
東区,138,0306,元町中学校
東区,139,0307,丘珠中学校
東区,140,0308,栄町中学校
東区,141,0309,札苗緑小学校
東区,142,0310,丘珠小学校
東区,143,0311,札苗北中学校
白石区,144,0330,白石小学校
白石区,145,0331,上白石小学校
白石区,146,0332,東米里小学校
白石区,147,0333,南郷小学校
白石区,148,0335,北郷小学校
白石区,149,0336,北都小学校
白石区,150,0337,幌東小学校
白石区,151,0338,南白石小学校
白石区,152,0339,川北小学校
白石区,153,0340,幌東中学校
白石区,154,0341,白石中学校
白石区,155,0342,日章中学校
白石区,156,0343,柏丘中学校
白石区,157,0344,東白石中学校
白石区,158,0345,北白石中学校
白石区,159,0346,北都中学校
白石区,160,0347,米里中学校
厚別区,161,0360,上野幌小学校
厚別区,162,0361,共栄小学校
厚別区,163,0363,ひばりが丘小学校
厚別区,164,0364,上野幌西小学校
厚別区,165,0365,厚別東小学校
厚別区,166,0366,信濃中学校
厚別区,167,0367,もみじ台中学校
厚別区,168,0369,青葉中学校
厚別区,169,0370,厚別中学校
厚別区,170,0371,厚別南中学校
厚別区,171,0372,上野幌中学校
厚別区,172,0373,厚別通小学校
厚別区,173,0374,厚別北中学校
豊平区,174,0390,豊平小学校
豊平区,175,0391,東園小学校
豊平区,176,0392,旭小学校
豊平区,177,0393,月寒小学校
豊平区,178,0395,豊園小学校
豊平区,179,0396,中の島小学校
豊平区,180,0397,月寒東小学校
豊平区,181,0399,東山小学校
豊平区,182,0400,平岸西小学校
豊平区,183,0401,南月寒小学校
豊平区,184,0402,みどり小学校
豊平区,185,0404,平岸高台小学校
豊平区,186,0405,あやめ野小学校
豊平区,187,0406,八条中学校
豊平区,188,0407,月寒中学校
豊平区,189,0408,平岸中学校
豊平区,190,0409,陵陽中学校
豊平区,191,0410,羊丘中学校
豊平区,192,0411,東月寒中学校
豊平区,193,0412,西岡中学校
豊平区,194,0413,中の島中学校
豊平区,195,0414,西岡北中学校
豊平区,196,0415,あやめ野中学校
豊平区,197,0416,しらかば台小学校
清田区,198,0430,清田南小学校
清田区,199,0431,平岡南小学校
